,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
8146,May,5,Sunday,Chevrolet,Urban,Friday,Jul,3,Male,Divorced,50,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8147,7,400,4,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1995,All Perils
578,Jun,2,Friday,Mazda,Rural,Wednesday,Jun,3,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,579,7,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
13455,Jul,3,Friday,Pontiac,Urban,Thursday,Jul,4,Female,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13456,2,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability
7539,Aug,2,Friday,Chevrolet,Urban,Wednesday,Aug,3,Male,Married,26,Third Party,Sedan - Liability,Sport,20000 to 29000,0,7540,15,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Liability
15057,Oct,3,Monday,Accura,Urban,Monday,Oct,4,Male,Married,62,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,15058,11,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,4 to 8 years,2 vehicles,1996,All Perils
2948,Mar,2,Saturday,Toyota,Urban,Monday,Mar,2,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,2949,8,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
4516,Jan,3,Wednesday,Pontiac,Urban,Thursday,Jan,3,Female,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4517,15,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
2816,Aug,2,Tuesday,Accura,Urban,Friday,Aug,4,Male,Married,54,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2817,11,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
6492,Nov,1,Thursday,Toyota,Urban,Thursday,Nov,1,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,6493,16,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
4436,Apr,4,Saturday,Mazda,Urban,Wednesday,Jul,1,Male,Married,64,Policy Holder,Sport - Collision,Sport,more than 69000,0,4437,5,400,1,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
9521,Nov,4,Thursday,Mazda,Urban,Friday,Dec,1,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9522,8,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
4419,Mar,4,Wednesday,Saab,Urban,Thursday,Mar,4,Male,Married,47,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,4420,5,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
12907,Sep,2,Sunday,Toyota,Urban,Tuesday,Sep,2,Male,Married,19,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12908,9,400,1,more than 30,more than 30,none,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1996,Collision
11177,Apr,1,Saturday,Mazda,Rural,Wednesday,Apr,1,Male,Married,33,Third Party,Sedan - All Perils,Sedan,less than 20000,0,11178,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
797,Jun,3,Friday,Honda,Urban,Thursday,Jul,2,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,798,7,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
10986,Jul,5,Friday,Toyota,Urban,Tuesday,Aug,1,Female,Single,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10987,15,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
5945,Oct,2,Thursday,Pontiac,Urban,Friday,Oct,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5946,9,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,1994,Collision
3198,May,1,Friday,Pontiac,Urban,Friday,May,1,Male,Married,72,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3199,8,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,3 to 4,1994,All Perils
1686,Mar,1,Wednesday,Ford,Urban,Friday,Mar,1,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,1687,8,400,2,more than 30,more than 30,2 to 4,3 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
14705,Sep,1,Wednesday,Pontiac,Urban,Wednesday,Sep,1,Female,Single,32,Third Party,Sedan - Liability,Sport,20000 to 29000,0,14706,3,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
8404,Nov,3,Thursday,Chevrolet,Rural,Friday,Nov,3,Male,Married,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8405,10,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
9675,Sep,1,Monday,Toyota,Urban,Wednesday,Sep,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9676,7,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
9067,Mar,2,Tuesday,Honda,Urban,Wednesday,Mar,2,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9068,12,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6666,Jul,1,Saturday,Pontiac,Urban,Monday,Jul,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6667,6,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
10967,Jun,4,Wednesday,Mazda,Urban,Thursday,Nov,1,Female,Single,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10968,4,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
1705,Nov,2,Saturday,Mazda,Urban,Wednesday,Nov,4,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1706,3,700,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
4999,Oct,2,Monday,Accura,Urban,Wednesday,Oct,2,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,5000,16,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
12036,May,2,Monday,Mazda,Urban,Monday,Jun,1,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,12037,14,500,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1996,All Perils
6063,Jul,4,Monday,Toyota,Urban,Monday,Jul,4,Male,Married,75,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,6064,16,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
13964,Nov,4,Thursday,Toyota,Urban,Thursday,Nov,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13965,2,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
1938,Mar,2,Friday,Pontiac,Urban,Thursday,Mar,4,Male,Single,46,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1939,1,500,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
10896,Sep,3,Wednesday,Toyota,Urban,Tuesday,Sep,4,Female,Married,59,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10897,15,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability
1493,Aug,1,Tuesday,Toyota,Urban,Thursday,Aug,1,Female,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1494,15,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
11032,Sep,2,Tuesday,Chevrolet,Urban,Wednesday,Sep,4,Male,Single,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11033,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
12906,Sep,2,Monday,Mazda,Urban,Tuesday,Sep,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12907,12,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability
7072,Oct,2,Monday,Chevrolet,Urban,Tuesday,Oct,2,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7073,4,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
8401,Jan,4,Saturday,Honda,Urban,Tuesday,Jan,4,Male,Married,39,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8402,14,700,1,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1995,Collision
5159,May,1,Thursday,Pontiac,Urban,Tuesday,May,2,Male,Divorced,70,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5160,6,400,1,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
12233,Sep,4,Saturday,Chevrolet,Urban,Monday,Oct,2,Male,Single,24,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12234,16,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,Internal,none,no change,1 vehicle,1996,Liability
13593,Jul,5,Friday,Pontiac,Urban,Tuesday,Aug,1,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,13594,11,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
11288,Dec,1,Friday,Chevrolet,Urban,Monday,Dec,1,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11289,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
917,May,4,Tuesday,Honda,Urban,Tuesday,May,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,918,7,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
1210,Oct,3,Tuesday,Toyota,Urban,Thursday,Nov,1,Male,Married,27,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1211,14,400,1,none,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
5584,Feb,3,Friday,Mazda,Urban,Tuesday,Mar,1,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5585,7,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
2578,Nov,3,Tuesday,Mazda,Rural,Wednesday,Nov,4,Female,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2579,11,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
1214,Jul,5,Saturday,Pontiac,Urban,Monday,Aug,1,Male,Single,22,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1215,6,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
5309,Nov,4,Friday,Pontiac,Urban,Tuesday,Dec,4,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5310,8,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
5912,Jul,1,Tuesday,Pontiac,Urban,Thursday,Jul,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5913,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
8075,Sep,2,Thursday,Mazda,Urban,Monday,Sep,2,Male,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8076,16,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
3088,Apr,5,Friday,Toyota,Urban,Wednesday,May,2,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3089,1,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
13769,Jan,1,Tuesday,Pontiac,Urban,Tuesday,Jan,1,Male,Single,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13770,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
7328,Mar,3,Tuesday,Mazda,Urban,Wednesday,Mar,3,Male,Married,39,Policy Holder,Utility - All Perils,Utility,more than 69000,0,7329,10,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
14935,Apr,4,Monday,Pontiac,Urban,Monday,May,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14936,14,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
13,Jan,5,Friday,Honda,Rural,Wednesday,Feb,1,Male,Single,0,Third Party,Sedan - Collision,Sedan,more than 69000,0,14,12,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
8548,May,4,Saturday,Pontiac,Urban,Wednesday,May,4,Male,Married,51,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,8549,9,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision
10614,Jun,3,Tuesday,Honda,Urban,Wednesday,Jun,3,Male,Married,32,Third Party,Sedan - Liability,Sport,20000 to 29000,0,10615,13,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
4553,Jun,3,Saturday,Mazda,Urban,Thursday,Jun,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,4554,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
12254,Sep,1,Monday,Toyota,Urban,Monday,Oct,2,Female,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12255,7,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils
7764,Jun,1,Saturday,Chevrolet,Urban,Monday,Jun,2,Female,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7765,15,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision
7254,Aug,3,Saturday,Honda,Urban,Monday,Aug,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7255,6,700,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
13581,Jul,3,Monday,Chevrolet,Urban,Monday,Jul,4,Male,Married,53,Third Party,Sedan - Collision,Sedan,60000 to 69000,0,13582,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12361,Jul,2,Tuesday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,37,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12362,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
13361,May,5,Sunday,Mazda,Urban,Thursday,Jun,1,Male,Married,43,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,13362,10,700,2,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1996,All Perils
11620,Apr,1,Monday,Mazda,Urban,Thursday,Apr,2,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11621,13,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
13988,Jul,2,Friday,Pontiac,Urban,Tuesday,Jul,2,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13989,10,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
6024,Jul,4,Wednesday,Honda,Rural,Thursday,Jul,4,Female,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6025,12,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
10110,Nov,1,Saturday,Toyota,Urban,Thursday,Nov,3,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10111,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
8391,Oct,1,Thursday,Pontiac,Urban,Monday,Oct,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8392,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6547,Apr,3,Tuesday,Chevrolet,Urban,Thursday,Jun,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,6548,11,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
15256,May,4,Monday,Pontiac,Urban,Tuesday,May,4,Male,Married,31,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,15257,10,400,1,15 to 30,15 to 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
1099,Aug,3,Wednesday,Honda,Urban,Friday,Aug,4,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,1100,12,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
11825,Jan,5,Saturday,VW,Urban,Monday,Feb,1,Male,Married,78,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,11826,16,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
1582,Oct,1,Thursday,Chevrolet,Urban,Monday,Oct,2,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1583,4,400,1,more than 30,more than 30,none,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
9344,Aug,3,Tuesday,Pontiac,Urban,Monday,Aug,4,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,9345,11,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
13819,Jun,2,Tuesday,Honda,Urban,Tuesday,Jun,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13820,7,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
